"AcceptedTaxonID","CommonName","Transliteration","Language","Country","Area","ReferenceID"
22954,"Olhão",,"Portuguese","BR","Brazil",38265
22954,"Olho largo",,"Creole, Portuguese","CV","Cape Verde",37413
22954,"Olho largo",,"Spanish","CV","Cape Verde",7193
22954,"Olho-largo",,"Creole, Portuguese","CV","Cape Verde",27000
22954,"Olhudo",,"Portuguese","BR","Brazil",38265
22954,"Orare",,"Tahitian",,"Tahiti",4795
22954,"Orare",,"Rapa","PF","Fr Polynesia",6784
22954,"'Orare",,"Tahitian",,"Tahiti",13767
22954,"Pa'a'a",,"Hawaiian",,"Hawaii",583
22954,"Papa",,"Gela","SB","Solomon Is",26367
22954,"Pati",,"Carolinian","FM","Micronesia",3807
22954,"Pati",,"Marshallese","MH","Marshall Is",28989
22954,"Páti",,"Carolinian","MP","N Marianas",6306
22954,"Pêche cavale",,"French","FR","France",81519
22954,"Pêche-cavale",,"French","RE","Reunion",11888
22954,"Pelata bulat",,"Malay","MY","Malaysia",5756
22954,"Pepona",,"Spanish","EC","Ecuador",3277
22954,"Pepona ojona",,"Spanish","EC","Ecuador",55763
22954,"Purse-eye scad",,"English","ID","Indonesia",48635
22954,"Purse-eyed scad",,"English","MY","Malaysia",85449
22954,"Purse-eyed scad",,"English","PH","Philippines",58652
22954,"Purse-eyed scad",,"English",,"Hawaii",58302
22954,"Purse-eyed scad",,"English","AU","Australia",3277
22954,"Purse-eyed scad",,"English","SB","Solomon Is",26367
22954,"Purse-eyed scad",,"English","PG","Papua N Guin",6192
22954,"Sabalo de ojo grande",,"Spanish","MX","Mexico",3277
22954,"Sabalo de ojo grande",,"Spanish","PE","Peru",3277
22954,"Sae-ga-ra-ji",,"Korean","KR","Korea Rep",11230
22954,"Salai-salai",,"Malay","MY","Malaysia",85449
22954,"Samban",,"Tagbanwa Calamian","PH","Philippines",
22954,"Sanglar (Brunei)",,"Malay","MY","Malaysia",85449
22954,"Scad",,"English","US","USA",30426
22954,"Selar",,"Malay","MY","Malaysia",4789
22954,"Selar bentong",,"Malay","ID","Indonesia",6107
22954,"Selar coulisou",,"French","FR","France",171
22954,"Selar coulisou",,"French","MZ","Mozambique",5284
22954,"Sélar coulisou",,"French","FR","France",82178
22954,"Sélar coulisou",,"French","DJ","Djibouti",5450
22954,"Sélar coulisson",,"French","FR","France",81519
22954,"Sélar gros yeux",,"French","FR","France",50675
22954,"Selar kuning jantan",,"Malay","MY","Malaysia",85449
22954,"Selar pucat",,"Malay","MY","Malaysia",5756
22954,"Selar wielkooki",,"Polish","PL","Poland",6313
22954,"Silver scad",,"English","FJ","Fiji",40762
22954,"Silver scad",,"English","PF","Fr Polynesia",4821
22954,"Silver scad",,"Tongan","TO","Tonga",40762
22954,"Sima",,"Arabic","OM","Oman",6365
22954,"Steenbrass",,"English","SH","St Helena",4905
22954,"Storøjet selar",,"Danish","DK","Denmark",51471
22954,"Sussand",,"French","SC","Seychelles",1623
22954,"Tamalito",,"Spanish","SV","El Salvador",3277
22954,"Tamarong",,"Cebuano","PH","Philippines",31411
22954,"Tamarong",,"Hiligaynon","PH","Philippines",31411
22954,"Taupapa",,"Samoan","WS","Samoa",592
22954,"Teka",,"Creole, French","SC","Seychelles",11888
22954,"Temenong",,"Malay","MY","Malaysia",5756
22954,"Terekrik",,"Palauan","PW","Palau",10415
22954,"Tingin",,"Bikol","PH","Philippines",2857
22954,"Tingin",,"Tagalog","PH","Philippines",2857
22954,"Torro",,"Creole, English","PG","Papua N Guin",3277
22954,"Tou",,"Marshallese","MH","Marshall Is",28989
22954,"Tua bak",,"Malay","MY","Malaysia",85449
22954,"Tugadra",,"Fijian","FJ","Fiji",40762
22954,"Tulai",,"Malay","MY","Malaysia",85449
22954,"Tulay",,"Chavacano","PH","Philippines",31411
22954,"Tulay",,"Cotabato Chavacano","PH","Philippines",31411
22954,"Tulay",,"Davawenyo","PH","Philippines",31411
22954,"Tulay",,"Maranao/Samal/Tao Sug","PH","Philippines",31411
22954,"Utdan",,"Tagbanwa Calamian","PH","Philippines",
22954,"Xixarro",,"Portuguese","BR","Brazil",42072
22954,"Xixarro-olho-grande",,"Portuguese","BR","Brazil",38265
22954,"Yatule",,"Fijian","FJ","Fiji",10415
22954,"Yatulele",,"Fijian","FJ","Fiji",68063
22954,"Zhi yan ao jian shen",,"Mandarin Chinese","CN","China Main",11230
22954,"???????? ????????????","Stavrida bolsheglazaya","Russian","RU","Russian Fed",48321
22954,"???????? -?????","Stavrida-selar","Russian","RU","Russian Fed",48321
22954,"?????? ??????",,"Marathi","IN","India",
22954,"?????? ??????",,"Marathi","IN","India",
22954,"???? ?????","Karaba bangada","Gujarati","IN","India",
22954,"?????? ",,"Tamil","IN","India",
22954,"???????",,"Tamil","IN","India",
22954,"?????",,"Malayalam","IN","India",
22954,"??????",,"Malayalam","IN","India",
22954,"???????? ",,"Malayalam","IN","India",
22954,"??? ",,"Malayalam","IN","India",
22954,"????","Saegaraji","Korean","KR","Korea Rep",77001
22954,"???","Da mu kong","Mandarin Chinese","CN","China Main",58108
22954,"???","da mu kong","Mandarin Chinese","TW","Taiwan",31517
22954,"????","Da mu ba long","Mandarin Chinese","CN","China Main",58108
22954,"????","da mu ba long","Mandarin Chinese","TW","Taiwan",40116
22954,"????","Da mu gua zai","Mandarin Chinese","CN","China Main",58108
22954,"????","da mu gua zai","Mandarin Chinese","TW","Taiwan",40116
22954,"?????","jhih yan ao jian shen","Mandarin Chinese","CN","China Main",31517
22954,"?????","jhih yan ao jian shen","Mandarin Chinese","TW","Taiwan",31517
22954,"?????","Zhi yan ao jian shen","Mandarin Chinese","CN","China Main",58108
23106,"Alumahan",,"Maranao/Samal/Tao Sug","PH","Philippines",31411
23106,"Antonino",,"Spanish","CO","Colombia",3277
23106,"Antonino",,"Spanish","CU","Cuba",26235
23106,"Antonino",,"Spanish","MX","Mexico",3277
23106,"Antonino caballita",,"Spanish","CU","Cuba",26340
23106,"Atuleau",,"Palauan","PW","Palau",10415
23106,"Atuleau",,"Samoan","WS","Samoa",592
23106,"Baleg",,"Arabic","OM","Oman",6365
23106,"Bancloche",,"French","FR","France",81519
23106,"Bancloche",,"Creole, French","RE","Reunion",33390
23106,"Barraniti",,"Ilokano","PH","Philippines",31411
23106,"Basung",,"Malay","MY","Malaysia",85449
23106,"Bengol",,"Malay","CX","Christmas I.",30874
23106,"Bodloy",,"Surigaonon","PH","Philippines",31411
23106,"Borot",,"Cebuano","PH","Philippines",31411
23106,"Budboron",,"Visayan","PH","Philippines",58652
23106,"Budburon",,"Cebuano","PH","Philippines",31411
23106,"Bud-loy",,"Surigaonon","PH","Philippines",31411
23106,"Buraw",,"Other","PH","Philippines",58652
23106,"Burot",,"Davawenyo","PH","Philippines",31411
23106,"Burot (yellow tail)",,"Cebuano","PH","Philippines",31411
23106,"Burot-burot",,"Cebuano","PH","Philippines",31411
23106,"Caballa",,"Spanish","PR","Puerto Rico",3277
23106,"Caballa amarilla",,"Spanish","PR","Puerto Rico",26235
23106,"Caballa azul",,"Papiamento","PR","Puerto Rico",35205
23106,"Caballa azul",,"Spanish","PR","Puerto Rico",3277
23106,"Caballeta",,"Spanish","CO","Colombia",3277
23106,"Caballeta macarela",,"Spanish","CO","Colombia",56479
23106,"Caballla amarilla",,"Spanish","PR","Puerto Rico",35205
23106,"Carangue maquereau",,"French","PF","Fr Polynesia",4795
23106,"Carapau",,"Portuguese","BR","Brazil",38265
23106,"Carapau cavala",,"Portuguese","MZ","Mozambique",5213
